	ID	Inner ID	Type	Text
0	T1	TH1	H	John morgan (golfer) (3 september 1943 – 23 june 2006) was an english professional golf Morgan was born in oxford. Morgan died of a brain tumor at the age of 62.
1	T2	TH2	H	"Miloš babić (serbian cyrillic : милош бабић born november 23 1968) is a serbian former professional basketball player. He is a 7 ' 0 "" 240 lb power forward (basketball) / center (basketball). He played collegiate basketball for the tennessee technological university in cookeville, tennessee for 3 seasons (1987 / 88-1989 / 90). He was selected by the phoenix suns in the second round (50th pick overall) of the 1990 nba draft and immediately on the draft day traded to the cleveland cavaliers in exchange for the italian player stefano rusconi (drafted with the 52nd pick overall by cavaliers). He played in the national basketball association (nba) for two seasons for the cleveland cavaliers (1990 – 91) and miami heat (1991 – 92) altogether in 21 games averaging 1.8 points and 1.0 rebounds per game in 4.1 minutes per game on average."
2	T3	TH3	H	Dallas green (baseball) (august 4 1934 – march 22 2017) was an american pitcher manager and executive in major league baseball. After playing for the philadelphia phillies washington senators and new york mets from 1960 through 1967 he went on to manage the phillies new york yankees and mets. Green was born in newport, delaware. After green pitched to a 6 – 0 win-loss record and an 0.88 earned run average (era) in 1955 his junior year jocko collins a scout for the philadelphia phillies signed green as an amateur free agent. Pitching for the phillies washington senators and new york mets green had a career 20 – 22 record and 4.26 era in 185 total games with 46 games started. After acquiring left fielder gary matthews and center fielder bob dernier from philadelphia before the 1984 season green's cubs became serious contenders for the first time in more than a decade. On march 22 2017 green died at hahnemann university hospital in philadelphia.
3	T4	TH4	H	Jeff goulding (born 13 may 1984) is an english semi-professional association football. He has played for non-league clubs clapton f.c. croydon f.c. molesey f.c. hayes f.c. yeading f.c. fisher athletic f.c. dover athletic f.c. and grays athletic f.c.. Goulding has also made 150 appearances in the football league the majority of which were with cheltenham town f.c.. Born in sutton, london goulding scored on his début for a.f.c. bournemouth at home to bristol rovers in the 3 – 0 victory in the football league trophy on 2 september 2008. On 26 november goulding was signed by conference team eastbourne borough f.c. on a loan deal lasting until 1 january 2009. Goulding's season was cut short by an ankle injury suffered on 2 april 2011 during an 8 – 1 defeat against crewe alexandra. He made one appearance as a substitute for cray wanderers f.c. in february 2016.
4	T5	TH5	H	Norman taylor (april 15 1899 – december 14 1980) was a canada rowing (sport) who competed in the 1924 summer olympics.
5	T6	TH6	H	Elena of montenegro or more commonly known as elena of montenegro (8 january 1873 – 28 november 1952) was the daughter of nicholas i of montenegro and his wife milena vukotić. As wife of victor emmanuel iii of italy she was queen of italy from 1900 until 1946 and queen consort of the albanians from 1939 until 1943. She was born in cetinje as daughter of montenegrin prince and future nicholas i of montenegro and his wife milena. As the result of elena's marriage to victor emmanuel iii of italy on 24 october 1896 she converted to catholic church from orthodoxy and became queen of italy when her husband acceded to the throne in 1900. Prince michael had been imprisoned after refusing to become king of montenegro under the protection of italy. On 29 july 1900 following his father's assassination victor emmanuel ascended the italian throne. In 1939 three months after the german invasion of poland and the declaration of war by the united kingdom and france elena wrote a letter to the six european queens still neutral (queen alexandrine of denmark queen wilhelmina of the netherlands grand duchess charlotte of luxembourg queen elisabeth of belgium giovanna of italy and queen maria the queen mother of yugoslavia) in order to avoid the great tragedy world war ii would become. In contrast on 23 september their daughter princess mafalda of savoy was arrested by the nazis and sent to buchenwald concentration camp where she died in 1944. Following the war on may 9 1946 victor emmanuel iii abdicated in favour of their son umberto and the former king assumed the title of count of pollenzo. The republic was formally proclaimed four days later and the house of savoy's reign over italy formally ended on june 12 1946. There in montpellier she was diagnosed with a severe form of cancer and died while having surgery to treat it. 65 years after her death on december 15 2017 the remains of elena were repatriated from montpellier to the sanctuary of vicoforte near turin. King victor emmanuel iii of italy and queen elena had 5 children : # princess yolanda of savoy (1901 – 1986) married to (1887 – 1977) # princess mafalda of savoy (1902 – 1944) married to prince philipp of hesse (1896 – 1980) with issue # umberto ii of italy later umberto ii king of italy (1904 – 1983) married princess marie josé of belgium with issue. # giovanna of italy (1907 – 2000) married to boris iii king of bulgaria # princess maria francesca of savoy (1914 – 2001) who married prince luigi of bourbon-parma (1899 – 1967) with issue.
6	T7	TH7	H	"Jimmy johnson (blues guitarist) (born november 25 1928) known professionally as jimmy johnson (blues guitarist) is an american blues guitarist and singer. Johnson was born in holly springs, mississippi. He and his family moved to chicago in 1950 where he worked as a welder and played guitar in his spare time. He began playing professionally with slim willis in 1959 changing his last name to johnson as did his brother syl. By 1974 johnson had returned to playing blues working with jimmy dawkins and touring japan with otis rush in 1975. Johnson was injured and took an extended break from the music industry. The subject of this article has sometimes been confused with another blues musician called jimmy johnson who was born james franklin johnson in fordyce, arkansas on february 23 1926 and died in los angeles on november 25 2000. James franklin johnson wrote the song "" don 't answer the door "" which was recorded by b. b. king."
7	T8	TH8	H	Ted kleinhans (born traugott otto kleinhans april 8 1899 – july 24 1985) was a major league baseball pitcher. He was born in deer park, wisconsin. Kleinhans played 4 seasons in major league baseball with the philadelphia phillies and cincinnati reds in the new york yankees in and the reds again in and. He died in redington beach, florida where he lived.
8	T9	TH9	H	Mel clark (july 7 1926 – may 1 2014) was an united states major league baseball outfielder. He attended college at ohio university and was signed by the philadelphia phillies in 1947. Clark played with the phillies from to and with the detroit tigers in.
9	T10	TH10	H	Álvaro mesén (born december 24 1972) is a retired costa rica Mesén made his league debut for a.d. carmelita on 6 march 1993 against turrialba during the 1992-93 season before heading off to costa rica giants liga deportiva alajuelense. He went on to play 207 league games for liga scoring one goal a penalty in the 1999-2000 season. He also played for c.s. herediano and brujas f.c. before finishing his career at a.d. municipal liberia after joining them in 2007. Mesén made his debut for costa rica national football team in a november 1999 friendly match against slovakia and earned a total of 38 caps scoring no goals. He represented his country in 15 fifa world cup qualification matches and was a non-playing squad member at the 2002 fifa world cup and 2006 fifa world cup He has also become known for his activism having been appointed as a fifa ambassador in 2001 and supporting the 2002 fifa world cup global march against child labour campaign.
10	T11	TH11	H	Timothy christopher adams (born august 4 1967) is an american actor and model (person). Adams was born in belleville, new jersey new jersey and grew up in harrison, new jersey the middle child of five. He received a ba in computer science in new jersey city university and was a partner in a trucking company before he started his career in show business. He received recognition as an actor when he signed with a modeling agency. He is the voice actor of brucie kibbutz in grand theft auto iv. Adams was married to model and tv personality daisy fuentes from 1991-1995.
11	T12	TH12	H	"Arnold laven (february 23 1922 – september 13 2009) was an american film and television director and producer. Laven was born in chicago illinois and moved to los angeles with his family in the late 1930s. During world war ii laven was assigned to the u.s. army air forces ' first motion picture unit the first unit of the united states military to be made up entirely of motion picture personnel. The trio followed with a pair of vampire movies the vampire a 1957 release about a small town doctor who mistakenly ingests an experimental drug made from the blood of vampire bats and the return of dracula a 1958 feature about a vampire who murders a czech artist assumes his identity and moves to the united states. In 1957 laven and his partners were collaborating with young screenwriter sam peckinpah on an episode of zane grey theater when laven came up with the concept for the rifleman. Laven was responsible for casting lee majors as stanwyck's son predicting big things for the young actor : "" it's his first appearance before a camera and i 'll go on record as saying he's one of the most attractive male stars to come along in years . "" On september 13 2009 laven died from complications of pneumonia at the tarzana medical center in the san fernando valley."
12	T13	TH13	H	Kurt diebner (13 may 1905 – 13 july 1964) was a german nuclear physics who is well known for directing and administrating the german nuclear energy project a secretive program aiming to build nuclear weapon Diebner was born in 1905 in nessa, saxony-anhalt weißenfels in german empire. In physics from university of innsbruck in 1930. He completed his doctorate in 1932 under gerhard hoffmann in halle. From 1931 to 1934 diebner was gerhard hoffmann ’ s teaching assistant at halle university. From 1934 diebner was a part-time employee of the physikalisch-technische reichsanstalt (ptr reich physical and technical institute today the physikalisch-technische bundesanstalt) he was also an advisor to the reichswehrministerium (rwm reich ministry of defense after 1939 the reichskriegsministerium rwk reich ministry of war) and the heereswaffenamt (hwa army ordnance office) on nuclear physics. The group included the physicists walther bothe robert döpel hans geiger wolfgang gentner wilhelm hanle gerhard hoffmann and joos. The second uranverein had its first meeting on 16 september 1939 which was organized by kurt diebner formally diebner was director of the kernforschungsrat (nuclear research council) under general carl heinrich becker of the hwa. They were repatriated to germany in early 1946. The following reports were published in kernphysikalische forschungsberichte (research reports in nuclear physics) an internal publication of the german uranverein. In 1971 the reports were declassified and returned to germany.
13	T14	TH14	H	Leo mckern ao (16 march 1920 – 23 july 2002) was an australian actor who appeared in numerous british australian and american television programmes and films and in more than 200 stage roles. Mckern was born in sydney new south wales the son of vera (née martin) and norman walton mckern. He attended sydney technical high school. In 1944 in sydney he performed in his first stage role. In the later series his daughter abigail mckern joined the cast as liz probert. Suffering in his final years from ill health mckern moved into a nursing home near bath, somerset in somerset in 2002 where he died a few weeks later in his 83rd year. He frequently travelled between england and australia both to visit family and friends and to appear in various films and plays. Mckern informed his daughter abigail mckern that he suffered from stage fright which became harder to control with age.
14	T15	TH15	H	George gardner (ice hockey) (october 8 1942 – november 6 2006) was the first-ever goaltender for the national hockey league's vancouver canucks. Gardner played for the canucks after breaking into the nhl with the detroit red wings. In 1972-73 he spent much of the season as the number 1 goalie for the los angeles sharks and teamed with russ gillow to help the sharks to a 3rd-place finish and allow the 3rd fewest goals in the wha.
15	T16	TH16	H	Daniel holcombe thomas (august 25 1906 – april 13 2000) was a united states federal judge. From the university of alabama school of law in 1928. He was in the united states navy lieutenant during world war ii from 1943 to 1946. Thomas was a federal judge on the united states district court for the southern district of alabama. He served as chief judge from 1966-1971.
16	T17	TH17	H	"Frances ellen work (october 27 1857 – january 26 1947) was an united states heiress and socialite. Frances was born in new york city on october 27 1857. In 1892 frances was included in ward mcallister's ""four hundred"" purported to be an index of new york's best families published in the new york times. She was a prominent figure in the new york city and newport, rhode island social sets and was friends with mrs reginald vanderbilt. On september 22 1880 at christ church new york city frances work married the hon. James roche, 3rd baron fermoy (1852 – 1920) who would later become the 3rd baron fermoy in 1920 after his brother edward roche, 2nd baron fermoy died without any male heirs. Cynthia roche (1884 − 1966) who married firstly arthur scott burden (1879 − 1921) in 1906 and secondly guy fairfax cary (1879 − 1950) in 1922. Maurice roche, 4th baron fermoy (1885 – 1955) who later became the 4th baron fermoy and was the maternal grandfather of diana, princess of wales. Frances divorced roche in delaware for desertion in 1891 before he had succeeded to the barony. When he immigrated to the united states on the white star liner majestic in 1891 batonyi had claimed he was a count. Frances sued de batonyi for divorce two years after their marriage allegedly because her father threatened to disinherit her if she continued to live with her husband. She died in the city of her birth at her residence 1020 fifth avenue at the age of 89 on january 26 1947."
17	T18	TH18	H	Anders ek (7 april 1916 – 17 november 1979) was a swedish film actor. He was born in gothenburg sweden and died in stockholm. He was married to birgit cullberg and is the father of dancer niklas ek (born 1943) dancer mats ek and actress malin ek (twins born 1945).
18	T19	TH19	H	Anna montañana (born october 24 1980) is a former professional basketball player representing spain. She spent most of her career in europe and went to play in the wnba for the minnesota lynx in 2009. Montañana was born in alboraya where she started playing basketball and she went to play for nearby ros casares valencia the most important spanish team at the time. She continued most of her career in europe (spain czech republic turkey and france) playing also for the minnesota lynx in 2009. She retired in cb avenida in 2015.
19	T20	TH20	H	Christian-jaque (byname of christian-jaque 4 september 1904 – 8 july 1994) was a french filmmaker. From 1954 to 1959 he was married to actress martine carol who starred in several of his films including lucrèce borgia (1953) madame du barry (1954) and nana (1955). Christian-jaque's 1946 film a lover's return was entered into the 1946 cannes film festival. Christian-jaque began his motion picture career in the 1920s as an art director and production designer. Christian-jaque was born in paris. He died at boulogne-billancourt in 1994.
20	T21	TH21	H	"Richard peter (10 may 1895 – 3 october 1977) was a german press photographer and photojournalist. He is best known for his photographs of dresden just after the end of world war ii. Richard peter was born and raised in klein jenkwitz silesia working as a smith and a miner while dabbling in photography. He was drafted into the german army in 1914 to serve in world war i After the war he settled in halle and later in dresden. Because of this he was promptly barred from working as a press photographer when the nazi party rose to power in 1933. During the third reich he worked in advertising before being drafted again to serve in world war ii. Peter returned to dresden in september 1945 to find the city destroyed after the bombing of dresden in february 1945. His photographs were published in 1949 in a volume called dresden eine kamera klagt an ("" dresden a photographic accusation ""). In 1949 peter was expelled from the socialist unity party of germany the successor of the communist party when he investigated corrupt party officials. He continued to work as a freelance art photographer in dresden until his death in 1977 and eventually won some international recognition for his work. File : fotothek df ps 0000106 blick vom turm des neuen rathauses.jpg | the ruins of dresden by richard peter Selfportrait of richard peter."
21	T22	TH22	H	Cristian gavra (born 3 april 1993) is a romanian association football who plays as a forward (association football) for fc viitorul constanța. Gavra played with the romania national under-19 football team at the 2011 uefa european under-19 football championship which took place in romania.
22	T23	TH23	H	George goring, 1st earl of norwich (28 april 1585 – 6 january 1663) was an english soldier and politician who sat in the house of commons between 1621 and 1628 when he was raised to the peerage. Goring was the son of george goring (died 1602) of hurstpierpoint and ovingdean sussex and his wife anne denny sister of edward denny, 1st earl of norwich. He matriculated from sidney sussex college, cambridge in 1600 and may subsequently have spent some time in flanders. Thus he was able to take a prominent part in the second english civil war of 1648. Norwich died at brentford on 6 january 1663.
23	T24	TH24	H	Michael beahan am (born 21 january 1937) was the 19th president of the senate (australia) holding that position from 1 february 1994 to 30 june 1996. He was a senator representing western australia in the australian senate from 1987 to 1996. Born in london of irish parents in 1937 michael beahan was educated at the salesian college, battersea in battersea where he successfully completed o levels in 1953. Following a year as a clerk with a large insurance company he migrated to australia with his parents four brothers and his sister in 1954. In 1964 he returned to study completing his matriculation at leederville technical college perth and went on to complete degrees in arts and education at the university of western australia. He was also a member of the joint foreign affairs defence and trade committee and at various times its defence trade and human rights committees the senate education and training committee and the joint electoral matters committee. During his time in parliament beahan was also the national convenor of the centre left faction of the australian labor party a grouping which exercised the balance of power both in the parliamentary party and at the party's national conference and national executive and enjoyed influence beyond its numbers particularly during the period of the hawke and keating governments. He was elected president of the senate in march 1994 succeeding kerry sibraa. At the march 1996 general election he was defeated in his bid for another six-year term as senator for western australia to commence on 1 july. His term as a senator ended on 30 june but he nevertheless had the authority to act as president of the senate until his successor margaret reid (politician) was elected in august. Beahan is married to margaret beahan (née morris) and has two children daniel beahan and kate beahan two step children georgia matterson and michael matterson and eight grandchildren.
24	T25	TH25	H	"Nadine de rothschild (née nadine de rothschild born 18 april 1932) is a french author and former actress. She is the widow of banker edmond adolphe de rothschild a member of the rothschild family. Nadine lhopitalier was born in saint-quentin, aisne aisne france. In 1962 two years before ending her career in film she married edmond adolphe de rothschild of the french branch of the rothschild family. Although she was raised roman catholic she converted to judaism stating : "" it would not have been possible to have the name rothschild and be a catholic ... They had one son born in 1963 benjamin de rothschild shortly after their marriage."
25	T26	TH26	H	David gigliotti (born 30 may 1985 in martigues) is a france association football who currently plays for gs consolat in the championnat national.
26	T27	TH27	H	Charmaine sinclair (born 23 april 1971 in chertsey surrey) is an united kingdom glamour model and pornographic film actor. According to robert de niro's biographer shawn levy sinclair was de niro's lover during the early 1990s.
27	T28	TH28	H	"Temple grandin (born august 29 1947) is an american professor of animal science at colorado state university consultant to the livestock industry on animal behavior and autism spokesperson. She is one of the first individuals on the autism spectrum to publicly share insights from her personal experience of autism. She invented the "" hug box "" device to calm those on the autism spectrum. She was the subject of the award-winning semi-biographical film temple grandin. Temple grandin was born in boston massachusetts into a wealthy family. Although raised in the episcopal religion temple grandin early on gave up on a belief in a personal deity or intention in favor of what she considers a more scientific idea of god. Contrary to widely published reports grandin was never formally diagnosed with autism in childhood or in youth. When grandin was in her mid-teens her mother chanced upon a checklist on autism published by dr. bernard rimland a renowned american psychologist and founder of the autism research institute. Completing the checklist grandin's mother hypothesised that grandin's symptoms were best explained by autism. The medical advice at the time for a diagnosis of autism was to recommend institutionalization a measure that caused a bitter rift of opinion between grandin's parents. Following her expulsion from beaver country day school (reports vary on the actual name of the school grandin was expelled from with grandin herself noting it to be cherry falls girls ' school in her first book emergence : labelled autistic) grandin's mother placed her in mountain country school (now known as hampshire country school) a private boarding school in rindge, new hampshire for children with behavioral problems. It was here that grandin met william carlock a science teacher who had worked for nasa who would become her mentor and help significantly towards building up her self-confidence. For example when grandin was facing criticism for her ' squeeze machine ' at franklin pierce university it was carlock who suggested that grandin undertake scientific experiments to evaluate the efficacy of the device. After she graduated in 1966 from hampshire country school grandin went on to earn her bachelor's degree in human psychology from franklin pierce university in 1970 a master's degree in animal science from arizona state university in 1975 and a doctoral degree in animal science from the university of illinois at urbana–champaign in 1989. She is also internationally famous as a spokesperson on autism. Steve silberman in his book neurotribes wrote that temple grandin helped break down years of shame and stigma because she was one of the first adults to publicly disclose that she was autistic. Bernard rimland a father of a son with autism and author of the book infantile autism wrote the foreword to grandin's first book emergence : labeled autistic. Dr. rimland wrote "" temple's ability to convey to the reader her innermost feelings and fears coupled with her capacity for explaining mental processes will give the reader an insight into autism that very few have been able to achieve . "" When her book thinking in pictures was written in 1995 grandin thought that all individuals with autism thought in photographic specific images the way she did. When the expanded edition was published in 2006 she now realized that it had been wrong to assume that every person with autism processed information the same way she did. In one of her newer books the autistic brain : thinking across the spectrum the concept of three different types of thinking in autism is further developed. An influential book which helped her develop her concept of pattern thinking was clara claiborne park's book titled exiting nirvana : a daughter's life with autism. Grandin expanded on these theories in her book animals make us human. In her academic work as a professor at colorado state university her graduate student bridgett voisinet conducted one of the early studies that showed that cattle that remained calm during handling had higher weight gains. The paper is titled "" feedlot cattle with calm temperaments have higher average daily gains than cattle with excitable temperaments "" published in the journal of animal science vol. Another important paper published by grandin was "" assessment of stress during handling and transport "" journal of animal science 1997 vol. While her designs are widely used throughout the slaughterhouse industry her claim of compassion for the animals is that because of her autism she can see the animals ' reality from their viewpoint that when she holds an animal's head in her hands as it is being slaughtered she feels a deep godlike connection to them. She compares the properties and rights of owning cows versus owning screwdrivers enumerating how both may be used to serve human purposes in many ways but when it comes to inflicting pain there is a vital distinction between such "" properties "" legally a person can smash or grind up a screwdriver but cannot torture an animal. She first spoke in public about autism in the mid-1980s at the request of ruth c. sullivan one of the founders of the autism society of america (asa). I learned her name was temple grandin. It wasn 't until later in the week that i realized she was someone with autism. Temple quickly became a much sought-after speaker in the autism community. Based on personal experience grandin advocates early intervention to address autism and supportive teachers who can direct fixations of the child with autism in fruitful directions. As a partial proponent of neurodiversity grandin does not support eliminating autism genes or treating mildly autistic individuals. By contrast jonathan mitchell describes grandin as making generalizations about autistic people saying that many autistics aren 't visual thinkers and that her generalizations trivialize the difficulties associated with autism. The autism activist amy sequenzia has criticized temple grandin for only focusing on and listening to high-functioning autistics as opposed to low-functioning and non-speaking autistics. In 2012 when the american beef industry was struggling with public perception of its use and sale of pink slime grandin spoke out in support of the food product. Beyond her work in animal science and welfare and autism rights her interests include horse riding science fiction movies and biochemistry. She has noted in her autobiographical works that autism affects every aspect of her life. In 2011 she received a double helix medal. She has received honorary degrees from many universities including carnegie mellon university in the united states (2012) mcgill university in canada (1999) and the swedish university of agricultural sciences (2009) and emory university (2016). In 2016 grandin was inducted into the american academy of arts and sciences. In 2012 grandin was interviewed on thriving canine radio to discuss "" a different perspective on animal behavior "". Grandin is the focus of a semi-biographical hbo film titled temple grandin starring claire danes as grandin. Folk-punk band ajj, formerly known as andrew jackson jihad included two songs called "" temple grandin "" and "" temple grandin too "" on their lp christmas island. In teaching children with autism : strategies to enhance communication and socialization kathleen ann quill Temple grandin at ted 2010."
28	T29	TH29	H	"Veaceslav platon (born 24 january 1973 in căușeni) is a moldovan businessman former member of parliament of moldova from 2009 to 2010. Platon is one of the wealthiest people in moldova with businesses in the field of sugar and banking in moldova and of atomic energy in ukraine. Platon is the alleged architect of the russian laundromat a scheme to move $ 20 – 80 billion out of russia from 2010 to 2014 through a network of global banks many of them in moldova and latvia. Veaceslav platon is married to evgenia tulchevskaya a ukrainian women who at the age of 20 has won the miss ukraine 2009 title. However in an 2016 interview he stated that for moldova the only way to escape from the "" disastruous situation in which it is "" is the unification with românia."
29	T30	TH30	H	Oleksandr shchanov (13 july 1924 – 6 november 2009) was a ukrainian association football defender and forward (association football) and manager (association football) the master of sports. He played for fc dynamo kyiv. First he trained young players in fc dynamo kyiv. On 6 november 2009 oleksandr ivanovych shchanov died at the age of 86.
30	T31	TH31	H	Francesco antonio vallotti (11 june 1697 – 10 january 1780) was an italian composer music theorist and organist. He was born in vercelli. In 1722 he became an organist at st. antonio in padua and would eventually become maestro there in 1730 succeeding maestro calegari and would hold that position for the next fifty years. Here he would meet and work with another theorist and composer named giuseppe tartini. Vallotti died in padua on 10 january 1780. Francesco antonio vallotti.
31	T32	TH32	H	Nigel mills (politician) (born 1974) is a conservative party (uk) politician in england. Mills was born in jacksdale on the nottinghamshire / derbyshire border and was educated at a loughborough grammar school and went on to study classics at newcastle university.
32	T33	TH33	H	Lucie berger (15 april 1836 - 8 march 1906) was a pioneer for the education of girls in france. Lucie berger was born into a progressive family the publishers berger-levrault being the sixth child of the lawyer frédéric berger and eléonore levrault. When lucie was one year old her father died and her mother took over the family printing business which already had some 200 employees. In 1866 lucie began working as secretary to the committee of the strasbourg deaconesses. In 1871 with the help of the deaconesses lucie opened an institute for young middle-class girls in a building bought from the catholic institution the bon pasteur (the good shepherd) and became its first director. It was the first private school in strasbourg to offer a secondary education diploma. In 1896 lucie berger added a gymnasium to the school reflecting her conviction of the importance of physical education. In 1918 when alsace returned to france the school was renamed collège lucie berger. In 2005 it merged with the jean sturm gymnasium under the name ' pôle éducatif jan-amos-comenius ' thus becoming the largest private protestant educational institution in france. Lucie berger (1836-1906).
